#主分类(中文)	HPO编号	名称(英文)	定义(英文)	中文译名	中文定义
肿瘤,头部和颈部的异常	HP:0000169	Gingival fibromatosis	The presence of `fibrosis` (MPATH:181) of the `gingiva` (FMA:59762).	牙龈纤维瘤病	牙龈部位发生的纤维瘤。
头部和颈部的异常	HP:0000171	Microglossia	Decreased length and width of the `tongue` (FMA:54640).	小舌畸形	舌的长度和宽度减小的。
头部和颈部的异常	HP:0000172	Abnormality of the uvula	Abnormality of the `uvula` (FMA:55022), the conic projection from the posterior edge of the middle of the soft palate.	悬雍垂异常	悬雍垂的异常。悬雍垂是从软腭后缘正中悬垂的小圆锥体。
头部和颈部的异常	HP:0000174	Abnormality of the palate	Any abnormality of the `palate` (FMA:54549), i.e., of roof of the mouth).	腭异常	腭（即口内顶部）的任何异常。
头部和颈部的异常	HP:0000175	Cleft palate	Cleft palate is a developmental defect of the `palate` (FMA:54549) resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate).	腭裂	腭裂是由腭突融合失败造成的发育缺陷，表现为口腔顶（软硬腭）的分裂。
头部和颈部的异常	HP:0000176	Submucous cleft hard palate	Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate.	黏膜下硬裂腭	粘膜下硬腭裂以形成口腔顶部的骨性硬腭中间部缺损为特征。可能在触诊硬腭时检查出来。
头部和颈部的异常	HP:0000177	Abnormality of upper lip	An abnormality of the `upper lip` (FMA:59817).	上唇异常	上唇的异常。
头部和颈部的异常	HP:0000178	Abnormality of lower lip	An abnormality of the `lower lip` (FMA:59818).	下唇异常	下唇的异常。
头部和颈部的异常	HP:0000179	Thick lower lip vermilion	Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective).	厚下唇	下唇厚度增加，导致下唇外观突出。下唇中线唇红的高度大于平均值超过2个标准偏差。或者，从正面看下唇唇红的高度显得增加（主观）。
头部和颈部的异常	HP:0000180	Lobulated tongue	Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour.	分叶舌	舌头边缘和/或表面上产生的多个凹陷和/或凸起，形成不规则的表面轮廓。
头部和颈部的异常	HP:0000182	Movement abnormality of the tongue	#####	舌头运动异常	#####
头部和颈部的异常	HP:0000183	Difficulty in tongue movements	#####	舌活动困难	#####
头部和颈部的异常	HP:0000185	Cleft soft palate	Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency.	软腭裂	软腭（也称为软腭，或肌肉腭）的裂口，为第7周和第12周妊娠之间发生的发育缺陷的结果。软腭裂可导致咽鼓管功能异常，由此导致中耳畸形和听力困难，以及因腭咽闭合不全带来的伴有重鼻音的语言问题。
头部和颈部的异常	HP:0000187	Broad alveolar ridges	#####	宽牙槽嵴	#####
头部和颈部的异常	HP:0000188	Short upper lip	`Decreased width` (PATO:0000599) of the `upper lip` (FMA:59817).	上唇短小	上唇的宽度减小。
头部和颈部的异常	HP:0000189	Narrow palate	Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective).	上腭狭窄	上腭宽度低于平均值超过2个标准偏差（客观）或腭宽度显得减小（主观）。
头部和颈部的异常	HP:0000190	Abnormality of oral frenula	An abnormality of the `lingual frenulum` (FMA:59820), that is of the small fold of mucous membrane that attaches the tongue to the floor of the mouth, or the presence of accessory frenula in the oral cavity.	口腔系带异常	舌系带的异常或口腔内存在多余的系带。舌系带指连接舌头和口腔底部粘膜的小褶皱。
头部和颈部的异常	HP:0000191	Accessory oral frenulum	Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip.	附加口腔系带	从牙槽嵴延伸到上或下唇内表面上的额外折叠组织。
头部和颈部的异常	HP:0000193	Bifid uvula	`Uvula` (FMA:55022) separated into two parts most easily seen at the tip.	双歧悬雍垂	悬雍垂分裂成两部分，最容易在尖端看到。
头部和颈部的异常	HP:0000194	Open mouth	#####	张口	#####
头部和颈部的异常,体壁的异常	HP:0000196	Lower lip pit	Depression located on the `vermilion of the lower lip` (FMA:59828), usually paramedian.	下唇凹陷	下唇的唇红处存在凹陷，通常接近正中部位。
头部和颈部的异常	HP:0000197	Abnormality of parotid gland	Any abnormality of the parotid glands, which are the salivary glands that are located in the subcutaneous tissues of the face overlying the mandibular ramus and anterior and inferior to the external ear.	腮腺异常	腮腺的任何异常。腮腺是位于面部覆盖下颌支皮下组织的唾液腺，在外耳的前下方。
头部和颈部的异常	HP:0000198	Absence of Stensen duct	#####	无腮腺导管	#####
头部和颈部的异常	HP:0000199	Tongue nodules	Nodules on/in the tongue.	舌结节	舌头表面或内部结节。
头部和颈部的异常	HP:0000200	Short lingual frenulum	The presence of an abnormally short `lingual frenulum` (FMA:59820).	舌系带过短	异常短小的舌系带
头部和颈部的异常	HP:0000201	Pierre-Robin sequence	Pierre Robin malformation is a sequence of developmental malformations characterized by `micrognathia (mandibular hypoplasia)` (HP:0000347), `glossoptosis` (HP:0000162) and `cleft palate` (HP:0000175).	皮埃尔 - 罗宾序列	皮埃尔-罗宾畸形的特点是小下颌（下颌发育不全），舌下垂和腭裂的发育畸形序列。
头部和颈部的异常	HP:0000202	Oral cleft	The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately.	口裂	口腔中有裂口，有唇裂和腭裂两种主要类型。唇裂指上颌和正中鼻突的先天性融合失败而形成在唇部的凹槽或裂缝。腭裂指腭先天性未能正确融合而在口腔顶部形成带槽凹陷或裂缝。唇颚裂可单独或合并发生。最好是每个缺陷分别编码。
头部和颈部的异常	HP:0000204	Cleft upper lip	A gap in the `upper lip` (FMA:59817). This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development.	上唇裂	上唇的间隙。这是胚胎发育过程中唇组织非融合造成的先天性缺陷。
头部和颈部的异常	HP:0000205	Pursed lips	An abnormality of the appearance of the face caused by constant contraction of the lips leading to a puckered or pursed appearance.	钱包状嘴唇	由于嘴唇收缩导致唇周皮肤呈放射状的一种面部畸形。
头部和颈部的异常	HP:0000206	Glossitis	Inflammation of the tongue.	舌炎	舌头发炎。
头部和颈部的异常	HP:0000207	Triangular mouth	The presence of a `triangular` (PATO:0001875) form of the `mouth` (FMA:49184).	三角嘴	嘴呈三角形。
骨骼系统异常,头部和颈部的异常	HP:0000211	Trismus	Limitation in the ability to open the mouth.	牙关紧闭	张口能力受限。
头部和颈部的异常	HP:0000212	Gingival overgrowth	`Hyperplasia` (MPATH:134) of the `gingiva` (FMA:59762, that is, a thickening of the soft tissue overlying the alveolar ridge. The degree of thickening ranges from involvement of the interdental papillae alone to gingival overgrowth covering the entire tooth crown.	牙龈增生	牙龈增生即覆盖在牙槽嵴上的软组织变厚。增厚范围从仅包括齿间乳头，到牙龈增生覆盖整个牙冠。
心血管系统异常,头部和颈部的异常,体壁的异常	HP:0000214	Lip telangiectasia	`Telangiectasia` (MPATH:476) (that is, the presence of small dilated superficial blood vessels) of the `lips` (FMA:59815).	唇部毛细血管扩张	唇部的毛细血管扩张（即浅表小血管扩张）。
头部和颈部的异常	HP:0000215	Thick upper lip vermilion	Height of the vermilion of the upper lip in the midline more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the upper lip in the frontal view (subjective).	厚上唇红	上唇中线唇红的高度大于平均值超过2个标准偏差。或者，从正面看下唇唇红的高度显得增加（主观）。
头部和颈部的异常	HP:0000216	Broad secondary alveolar ridge	#####	宽恒牙槽嵴	#####
头部和颈部的异常	HP:0000217	Xerostomia	Dryness of the mouth due to salivary gland dysfunction.	口腔干燥	因唾液腺功能障碍导致的口腔黏膜干燥。
头部和颈部的异常	HP:0000218	High palate	Height of the palate more than 2 SD above the mean (objective) or palatal height at the level of the first permanent molar more than twice the height of the teeth (subjective).	高腭	腭高大于平均值超过2个标准偏差（客观）或腭高在第一恒大臼齿处的水平高度超过该牙齿的高度的两倍（主观）。
头部和颈部的异常	HP:0000219	Thin upper lip vermilion	Height of the vermilion of the upper lip in the midline more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the upper lip in the frontal view (subjective).	薄上唇红	上唇中线唇红的高度小于平均值超过2个标准偏差。或者，从正面看上唇唇红的高度显得变短（主观）。
头部和颈部的异常	HP:0000220	Velopharyngeal insufficiency	Inability of velopharyngeal sphincter to sufficiently separate the nasal cavity from the oral cavity during speech.	腭咽机能不全	腭咽括约肌功能下降，言语时不能把鼻腔与口腔分开。
头部和颈部的异常	HP:0000221	Furrowed tongue	Accentuation of the grooves on the dorsal surface of the tongue.	沟裂舌	舌头背侧表面上的凹槽加深。
头部和颈部的异常,体壁的异常	HP:0000222	Gingival hyperkeratosis	`Hyperkeratosis` (MPATH:154) of the `gingiva` (FMA:59762).	牙龈角化过度	牙龈发生过度角化
神经系统异常,头部和颈部的异常	HP:0000223	Abnormality of taste sensation	The taste patients feeling (subjective feeling) is different from normal while eating.	味觉异常	味觉异常是指在饮食时口舌感觉的味道（主观感觉）异于正常人，也可表现为进食无味、味觉减退或味觉完全丧失。
神经系统异常,头部和颈部的异常	HP:0000224	Decreased taste sensation	The taste we feeling while eating is closely related to olfaction, vision as well as taste. Decreased taste sensation can be caused by a variety of reasons.	味觉减退	味觉是指食物在人的口腔内对味觉器官化学感受系统的刺激并产生的一种感觉。不同地域的人对味觉的分类不一样。使老人味觉减退的因素有很多，因为食物的滋味不仅来自于舌头的基本味觉，而且与嗅觉、视觉、神经等的作用有着密切的关系。
头部和颈部的异常,血液和造血组织异常	HP:0000225	Gingival bleeding	`Hemorrhage` (MPATH:119) affecting the `gingiva` (FMA:59762).	牙龈出血	累及牙龈的出血
心血管系统异常,头部和颈部的异常,体壁的异常	HP:0000227	Tongue telangiectasia	`Telangiectasia` (MPATH:476) (that is, the presence of small dilated superficial blood vessels) of the tongue.	舌毛细血管扩张	舌的毛细血管扩张（即舌体的浅表小血管扩张）。
心血管系统异常,头部和颈部的异常,体壁的异常	HP:0000228	Oral cavity teleangiectasia	Presence of teleangiectases in the oral cavity.	口腔毛细管扩张	口腔中的毛细血管扩张。
头部和颈部的异常	HP:0000230	Gingivitis	`Inflammation` (MPATH:212) of the `gingiva` (FMA:59762).	牙龈炎	牙龈发炎。
头部和颈部的异常	HP:0000232	Everted lower lip vermilion	An abnormal configuration of the `lower lip` (FMA:59818) such that it is turned outward i.e., `everted` (PATO:0001597), with the Inner aspect of the lower lip vermilion (normally opposing the teeth) being visible in a frontal view.	下唇唇红外翻	下唇异常外翻，即从正面可见下唇唇红的内部（通常与牙齿相对）。
